,Full_name,Drug_Type,Other_Details_summary
530,Acidose 500mg Tablet,Tablet,"It also increases the pH of blood and urine, thereby correcting acid indigestion, heartburn and helps in removal of toxic substances from the body in certain types of poisoning. It is important to consult a doctor before taking this medicine if you are suffering from severe stomach and kidney disease. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. It is an antacid which is used to relieve acid indigestion, heartburn, and gas. Pregnant or breastfeeding women should also consult their doctor before taking this medicine. Tablet helps to neutralize the acid present in the stomach by producing carbon dioxide which results in reduction of irritation in stomach and intestine. You should keep taking this medicine for as long as your doctor recommends."
531,Ascoril Plus Tablet,Tablet,"The most common side effects are nausea, diarrhea, bloating, indigestion, vomiting, stomach pain, sweating, headache, skin rash, tremor, and increased heart rate. It also provides relief from runny nose, sneezing, itching, and watery eyes. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It thins mucus in the nose, windpipe and lungs, making it easier to cough out. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you."
532,F Capsule,Capsule,"Before taking Airz-F Capsule, you should tell your doctor if you have any infections in your mouth or lungs, and liver or kidney disease. If an asthma attack occurs, use your quick-relief inhaler (reliever).  It works by stopping the release of certain chemical messengers that cause inflammation (swelling), thus relaxing the muscles in the airways. In general, you should be trying to avoid situations that make your asthma worse (your triggers) and try not to smoke. If you get these symptoms, don’t stop taking it but do talk to your doctor. This medicine must be used regularly to be effective, so go on taking it even if you don't have any symptoms. Airz-F Capsule is a combination of two medicines that makes breathing easier for patients with chronic obstructive pulmonary disease (COPD)."
533,Amlosafe TM 40 Tablet,Tablet,"The most common side effects of this medicine include swelling in your ankles or feet (oedema), headache, sleepiness, dizziness, tiredness, and upset stomach. By lowering your blood pressure, it is reducing your risk of heart attack or stroke so do not stop taking it unless your doctor tells you to. However, it is better to take it regularly at a fixed time each day, as prescribed by your doctor. While using this medicine, your blood pressure will need to be checked often and your kidney function may also need to be tested. Before taking this medicine, let your doctor know if you have any kidney or liver problems or severe dehydration. It lowers the blood pressure by relaxing the blood vessels and making it easier for your heart to pump blood around your body. Tablet contains two medicines, both of which help to control high blood pressure."
534,125mg Tablet,Tablet,"It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. The most common side effects of this medicine include vomiting, nausea, and diarrhea. Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. If you stop taking it early, some bacteria may survive and the infection may come back or worsen. Do not stop taking it until you have finished, even when you feel better."
535,Accentrix Solution for Injection,Injection,"The common side effects include eye pain, redness, blurred or decreased vision and eye discharge. Accentrix Solution for Injection is used for the treatment of eye diseases which are caused by diabetes, macular degeneration, and macular swelling. However, if you experience these side effects for a longer duration or any other symptoms which you think may be due to this medicine, please inform your doctor. It reduces the abnormal growth and leakage of blood vessels in the eye that can cause vision loss. It is not advised to drive after administration of this injection as it may cause blurring of vision. Accentrix Solution for Injection is administered directly into the eyeball by an eye specialist. You should not self administer this medicine at home."
536,Alaspan Oral Solution,Solution,"You may need this medicine only on days you have symptoms, or you may need to take it every day to prevent symptoms from happening. But, it may cause some amount of dizziness, so do not drive or do anything that needs attention. If you stop taking it earlier than advised, your symptoms may come back.   Before taking it, you should tell your doctor if you have any problems with your liver or kidneys or with your heart. It relieves symptoms like itching, swelling and rashes. As compared to other similar medications, it is much less likely to make you feel sleepy. Pregnant or breastfeeding women should also consult with their doctor before taking it."
537,80 Capsule,Capsule,"The most common side effects are constipation, indigestion, headache, tiredness, loss of appetite, and hiccups. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. This medicine can cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. Aprecap 125/80 Capsule is a prescription medicine used in the treatment of nausea or vomiting experienced as a side effect of chemotherapy or anti-cancer treatment. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness."
538,P Tablet,Tablet,"Some of the common side effects of this medicine include nausea, vomiting, stomach pain, loss of appetite, heartburn, and diarrhea. Before taking it, let your doctor know if you have any problems with your heart, kidneys, liver, or have stomach ulcers. It may also be used to relieve muscle pain, back pain, toothache, or pain in the ear and throat. It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis. If any of these side effects bother you or do not go away with time, you should let your doctor know. To make sure it is safe for you, let your doctor know about all the other medicines you are taking. Your doctor may help you with ways to reduce or prevent these side effects by prescribing an alternative medicine or adjusting the dose."
540,Alphadopa Tablet,Tablet,"This medicine is only one part of a treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Most people with high blood pressure do not feel ill, but if you stop taking this medicine, your condition could get worse. Common side effects of this medicine include headache, weakness, dizziness, and dryness in mouth. Before taking this medicine, it is better to let your doctor know if you are suffering from any kidney or liver disease. You can eat normally while taking this medicine, but try to reduce your salt intake. Alphadopa Tablet is a medicine used in the treatment of high blood pressure (hypertension). Also, pregnant women and breastfeeding mothers should consult a doctor before taking it."
541,Acolate P Plus Tablet,Tablet,"The most common side effects are nausea, vomiting, dryness in mouth, stomach upset, headache, fatigue, loss of appetite, and insomnia. It also provides relief from seasonal allergic conditions such as runny nose, watery eyes, sneezing and congestion or stuffiness. Before taking it, you should tell your doctor if you have any liver diseases so that your doctor can prescribe a suitable dose for you. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. It can also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Also tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It thins mucus in the nose, windpipe and lungs making it easier to cough out."
542,5mg Tablet,Tablet,"To prevent weight gain you can eat a healthy balanced diet, avoid snacking with high calorie foods, and exercise regularly. It may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. However, it is advised to take it at the same time each day as this helps to maintain a consistent level of medicine in the body. Take this medicine in the dose and duration as advised by your doctor as it has a high potential of habit-forming. It may also cause weight gain or weight loss as it can vary from person to person. It alters brain activity, calms it and provides relief from panic attacks by relaxing the nerves. If you have missed a dose, take it as soon as you remember it and finish the full course of treatment even if you feel better."
543,Altonil 3mg Tablet,Tablet,"It reduces jet lag symptoms such as irritability, indigestion, daytime tiredness, and sleep disturbances. Tablet is a prescription medicine used in the treatment of insomnia and jet lag (a sleep disorder due to frequent travel to different time zones). However, it is advised to take it at a fixed time each day to maintain a consistent level of medicine in the blood. It even causes dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. However, if the need arises, please consult your doctor before using it. It should be taken either 2 hours before or 2 hours after food, preferably at bedtime. Consult your doctor before taking this medicine if you are suffering from any liver or kidney problems."
544,Acenac Tablet,Tablet,"Your doctor may regularly monitor your kidney function, liver function, and levels of blood components if you are taking this medicine for long-term treatment. Vomiting, stomach pain, nausea, and indigestion are some of the common side effects that might be observed on taking this medicine. It may also cause dizziness, drowsiness, or visual disturbances. It alleviates pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis and osteoarthritis. It is important to keep taking the medicine regularly until your doctor tells you it is safe to stop. Taking the medicine regularly at the right times increases its effectiveness. Long-term use may lead to serious complications such as stomach bleeding and kidney problems."
545,Azulix 2 Tablet,Tablet,"Make sure you recognize the signs of having low blood sugar levels, such as sweating, dizziness, headache, and shaking, and know how to deal with them. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems, and loss of limbs. The most common side effects of taking this medicine include low blood sugar levels (hypoglycemia), nausea, headache, and dizziness. Before taking this medicine, tell your doctor if you have ever had heart disease, thyroid disease, or some hormonal conditions, as it may not be suitable. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled."
546,Azulix 3 MF Tablet,Tablet,"Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache and upper respiratory tract infection. if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled."
547,Aztolet  20 Tablet,Tablet,"This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails, using sharp objects, or engaging in contact sports (e.g., football, wrestling). Nausea, abdominal pain, headache, and constipation are some common side effects of this medicine. Before taking this medicine, tell your doctor if you have liver or kidney disease or you are suffering from bleeding disorder. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine. Let your doctor know if you notice yellowing of the skin, muscle pain or dark urine. This medicine reduces the ""bad"" cholesterol (LDL) and triglycerides (fats) levels."
548,Amlovas H  Tablet,Tablet,"Tablet is a combination medicine used in the treatment of hypertension (high blood pressure). Tablet is a combination medicine used in the treatment of hypertension (high blood pressure). This medicine should be used along with a proper diet, salt restriction, and regular exercise for best results. This medicine may cause dehydration, so it is better to take plenty of fluids. It also helps to reduce the risk of stroke and heart attack. It also helps to reduce the risk of stroke and heart attack. It should be taken with or without food preferably in the morning, to avoid frequent urination at night."
549,Arip MT 15 Tablet,Tablet,"Some common side effects of this medicine include headache, fatigue, nausea, vomiting and blurred vision. Inform your doctor if you develop any unusual changes in mood or behavior, new or worsening depression, or suicidal thoughts while taking this medicine.  Before taking the medicine you should tell your doctor if you are pregnant, planning to become pregnant, or breastfeeding.  It also causes dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. However, it is advised to take it at the same time each day as this helps to maintain a consistent level of medicine in the body. your doctor will monitor your blood sugar and cholesterol levels periodically while you are taking this medication. However, modifying your lifestyle by having a healthy diet and exercising regularly can reduce this side effect."
550,Avonza Tablet,Tablet,"The most common side effects of this medicine are impaired concentration, abnormal dreams, headache, nausea, weakness and fatigue, nasal congestion, diarrhea, rash, dizziness, trouble sleeping, pain, depression, and cough. Before starting with the treatment, you should consult your doctor if you are pregnant or breastfeeding, or have any kidney, liver, or other diseases. Your doctor may suggest some laboratory tests before and during the treatment to check your blood counts, liver and kidney functioning, and other health and mental conditions. These are usually not serious and go away within 2-4 weeks of treatment, however, inform your doctor if they bother you or do not go away. The medicine should be taken in an empty stomach, preferably at bedtime for better efficacy. In addition to that, avoid alcohol consumption as it may increase the intensity of the side effects. If you are HIV positive, you should not breastfeed or share personal belongings like razors or toothbrushes."
553,Azibest 500mg Tablet,Tablet,"Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. mg Tablet is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine."
554,125mg Tablet,Tablet,"It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. The most common side effects of this medicine include vomiting, nausea, and diarrhea. Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. If you stop taking it early, some bacteria may survive and the infection may come back or worsen. Do not stop taking it until you have finished, even when you feel better."
555,Amlozaar Tablet,Tablet,"The most common side effects of this medicine include swelling in your ankles or feet (oedema), headache, sleepiness, dizziness, tiredness, taste change, and upset stomach. By lowering your blood pressure, it is reducing your risk of heart attack or stroke so do not stop taking it unless your doctor tells you to. However, it is better to take it regularly at a fixed time each day, as prescribed by your doctor. While using this medicine, your blood pressure will need to be checked often and your kidney function may also need to be tested. Before taking this medicine, let your doctor know if you have any kidney or liver problems or severe dehydration. It lowers the blood pressure by relaxing the blood vessels and making it easier for your heart to pump blood around your body. Amlozaar Tablet contains two medicines, both of which help to control high blood pressure."
556,MT 25 Tablet,Tablet,"Some common side effects of this medicine include headache, weakness, dizziness, decreased blood pressure, and increased potassium level in blood. You may be asked for regular monitoring of blood pressure, blood sugar level, kidney functioning, urea, or electrolytes level during the treatment. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. By lowering the blood pressure, it helps in preventing future heart attack and stroke. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions. Before taking it, let your doctor know if you have any liver or kidney problems."
557,ml Syrup,Syrup,"It helps to relieve the symptoms of the flu virus infection like a stuffy or runny nose, sore throat, cough, body aches, tiredness, headache, fever, and chills. Some common side effects include nausea, vomiting, stomach pain, and diarrhea. Before taking it, tell your doctor if you have problems with your heart, liver or kidneys. Influenza, commonly known as flu is an infection caused by a virus. ml Syrup is an antiviral medicine used to treat and prevent influenza (flu) as well as, ml Syrup prevents the flu virus from spreading inside the body. swine flu (H1N1 virus)."
558,Ascodex Cough Syrup,Syrup,"The most common side effects are nausea, indigestion, bloating, upset stomach, diarrhea, headache, and sweating. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Before you start taking this medicine it is important to inform your doctor if you are suffering from any lung, liver or kidney disease. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can make sleepiness worse. It thins the mucus in the nose and windpipe, making it easier to cough out."
559,Alkaliser Syrup,Syrup,"To make sure the medicine is safe for you, before taking this medicine, let your doctor know all the other medicines you are taking. It may also cause diarrhea, excessive production of urine, tiredness, etc. Also tell your doctor if you have any problems with your heart, kidneys, or liver. If you are pregnant or breastfeeding, consult your doctor first before taking this medicine. Take it regularly and do not stop taking the medicine even if you get better until that doctor tell you it is alright to stop. Your doctor may help with ways to reduce or prevent these symptoms by reducing the dose or prescribing an alternative medicine. If any of these side effects does not resolve with time or get worsen, you should let your doctor know."
560,Atchol 20 Tablet,Tablet,"This medicine is only one part of the treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels. Cholesterol is a fatty substance that builds up in your blood vessels and causes narrowing, which may lead to a heart attack or stroke. You can eat normally while taking this medicine, but try to avoid foods that are high in fat.  Also, pregnant women and breastfeeding mothers should not take this medicine as it may harm the developing baby. Atchol 20 Tablet is a widely prescribed medicine and is regarded as safe for long-term use when taken as per doctor's advice."
561,4 Eye Drops,Drops,"It is generally safe, but it may sometimes cause irritation, tingling sensation, discomfort, and pain in the eyes. It relieves pain, itching, discomfort and irritation caused by infection. but if they stay for a long duration, you should consult the doctor immediately. 0.4 Eye Drops is strictly advised to use only in the eyes. Use it in the dose and duration advised by your doctor. It also stops the growth of the infection-causing microorganisms. It is used in treating infection of the eyes."
562,Ambrican 5 Tablet,Tablet,"5 Tablet is a prescription medicine used to treat pulmonary arterial hypertension (high pressure in the blood vessels that carry blood from the heart to the lungs). It even helps to improve your quality of life, exercising ability and delay in disease progression. In case, you have missed any dose than it is better to take another one as soon as you remember it.   Dizziness may occur as its side effect, so do not drive or do anything that requires mental focus. and It is better to take it in a dose and duration as advised by the doctor. This medication may be taken with or without food"
564,Amaryl 3mg Tablet,Tablet,"Make sure you recognize the signs of having low blood sugar levels, such as sweating, dizziness, headache, and shaking, and know how to deal with them. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems, and loss of limbs. The most common side effects of taking this medicine include low blood sugar levels (hypoglycemia), nausea, headache, and dizziness. Before taking this medicine, tell your doctor if you have ever had heart disease, thyroid disease, or some hormonal conditions, as it may not be suitable. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled."
565,M Tablet,Tablet,"The most common side effects are nausea, diarrhea, vomiting, dryness in mouth, headache, skin rash, flu-like symptoms, and fatigue. Allercet-M Tablet is a combination medicine used in the treatment of allergic symptoms such as runny nose, stuffy nose, sneezing, itching, swelling, watery eyes and congestion or stuffiness. This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. Before you start taking this medicine it is important to inform your doctor if you are suffering from kidney disease. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness."
566,Azibact 200 Readymix Oral Suspension,Suspension,"Readymix Oral Suspension is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. Readymix Oral Suspension is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine."
567,Aziwok 200 Liquid,Liquid,"Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. Aziwok 200 Liquid Mango is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine. Stopping the medicine too early may lead to the return or worsening of the infection."
568,Advent 457mg Tablet,Tablet,"It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. The most common side effects of this medicine include vomiting, nausea, and diarrhea. Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. If you stop taking it early, some bacteria may survive and the infection may come back or worsen. Do not stop taking it until you have finished, even when you feel better."
569,Asthakind LS Expectorant,Expectorant,"The most common side effects are nausea, diarrhea, stomach pain, vomiting, muscle cramp, headache, skin rash, and increased heart rate. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It also provides relief from runny nose, sneezing, itching, and watery eyes. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. It thins mucus in the nose, windpipe and lungs, making it easier to cough out. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends."
570,Amitone Plus Tablet,Tablet,"Some common side effects of this medicine include constipation, difficulty in urination, weight gain, confusion, orthostatic hypotension (sudden lowering of blood pressure on standing). However, it is advised to take it at a fixed time each day to maintain a consistent level of medicine in the blood. In case of losing weight, consult a dietitian for dietary supplements or try to increase your food portion. In case you miss a dose of this medicine, take it as soon as you remember. Taking this medicine for a long time may require regular monitoring of blood and liver functions. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Inform your doctor if you are pregnant, planning pregnancy or breastfeeding."
571,Atorlip 20 Tablet,Tablet,"This medicine is only one part of the treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels. Cholesterol is a fatty substance that builds up in your blood vessels and causes narrowing, which may lead to a heart attack or stroke. You can eat normally while taking this medicine, but try to avoid foods that are high in fat.  Also, pregnant women and breastfeeding mothers should not take this medicine as it may harm the developing baby. Tablet is a widely prescribed medicine and is regarded as safe for long-term use when taken as per doctor's advice."
572,Alorti Tablet,Tablet,"You may need this medicine only on days you have symptoms, or you may need to take it every day to prevent symptoms from happening. But, it may cause some amount of dizziness, so do not drive or do anything that needs attention. If you stop taking it earlier than advised, your symptoms may come back.   Before taking it, you should tell your doctor if you have any problems with your liver or kidneys or with your heart. It relieves symptoms like itching, swelling and rashes. As compared to other similar medications, it is much less likely to make you feel sleepy. Pregnant or breastfeeding women should also consult with their doctor before taking it."
573,Alaspan AG Syrup,Syrup,"It relieves allergic symptoms such as sneezing, running nose, watery eyes, itching, swelling, and congestion or stiffness. The most common side effects are nausea, vomiting, diarrhea, stomach pain, headache, and rash. This medicine can also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. Before taking it, you should tell your doctor if you have any kidney and liver diseases. Pregnant or breastfeeding women should also consult their doctor before taking this medicine. You should keep taking this medicine for as long as your doctor recommends."
574,Amoxyclav 375 Tablet,Tablet,"It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. The most common side effects of this medicine include vomiting, nausea, and diarrhea. Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. If you stop taking it early, some bacteria may survive and the infection may come back or worsen. Do not stop taking it until you have finished, even when you feel better."
575,Antidep 25mg Tablet,Tablet,"The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, difficulty in urination and constipation. Initially, this medicine may also cause a sudden drop in blood pressure, especially when you change positions. This medicine is not known to be addictive, but you can experience additional side effects (withdrawal symptoms) if you stop taking it suddenly. Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same or any other diseases. Also, remember to take this medicine as advised by the doctor as an overdose of this medication may lead to a serious health emergency. It may even cause dizziness and sleepiness, do not drive or do anything that requires mental focus until you know how this medicine affects you. If you notice any sudden mood change or get suicidal or self-harm thoughts, you must consult the doctor without delay."
576,500mg Tablet,Tablet,"Some of the common side effects of this medicine include nausea, vomiting, stomach pain, loss of appetite, heartburn, and diarrhea. Before taking it, let your doctor know if you have any problems with your heart, kidneys, liver, or have stomach ulcers. It may also be used to relieve muscle pain, back pain, toothache, or pain in the ear and throat. It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis. If any of these side effects bother you or do not go away with time, you should let your doctor know. To make sure it is safe for you, let your doctor know about all the other medicines you are taking. Your doctor may help you with ways to reduce or prevent these side effects by prescribing an alternative medicine or adjusting the dose."
577,Aricep 10 Tablet,Tablet,"Before using Aricep 10 Tablet, you should tell your doctor if you have ever had heart problems, stomach ulcer, epilepsy or asthma. Some common side effects of this medicine include diarrhea, nausea, and vomiting. It may also affect, or be affected by, some other drugs you are using so let your doctor know what these are to be safe. Tablet is used to treat mild to moderate dementia in Alzheimer’s disease, a progressive illness which gradually affects memory and thinking. Usually, the side effects will slowly go away as your body gets used to the Aricep 10 Tablet. If they are severe or will not go away, you should  contact your doctor. It does not cure this illnesses but may help improve memory, awareness and other symptoms."
578,Aquaviron Injection,Injection,"The most common side effects of this medicine include acne, breast enlargement, deepening of voice and Injection site reactions (pain, swelling, redness). Before taking this medicine, tell your doctor if you have ever had high blood pressure, heart attack, and stroke. Some side effects may mean you should stop taking this medicine shortness of breath, frequent or persistent erections, and low sperm count. Your doctor might perform regular blood tests to keep track of testosterone, and prostate specific antigen (PSA) levels. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. If these bother you or appear serious, let your doctor know. Aquaviron Injection 1ml is a medicine used in the treatment of male hypogonadism caused due to low testosterone levels."
579,Apxenta Tablet,Tablet,"To make sure the medicine is safe for you, before taking this medicine, let your doctor know all the other medicines you are taking. Using this medicine may cause few common side effects such as nausea, diarrhea, and vomiting. Take it regularly and do not stop taking the medicine even if you get better until that doctor tells you it is alright to stop. If you are pregnant or breastfeeding, consult your doctor first before taking this medicine. You may need to monitor your weight regularly while taking the medicine as it may cause weight loss. Your doctor may help with ways to reduce or prevent these symptoms by prescribing you an alternative medicine or by adjusting the dose. If these side effects persist or get worse, let your doctor know."
581,Aim7 60 XR Tablet,Tablet,"Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you."
582,Actibile 150 Tablet,Tablet,"The most common side effects are abdominal pain, diarrhea, hair loss, itching, nausea, and rash. During the treatment, you may need ultrasound scans, or frequent blood tests to check your liver function. 150 Tablet is a medicine used to dissolve certain types of gallstones, to prevent them from forming and to treat a type of liver disease called primary biliary cirrhosis. If you are worried about them, or they do not go away, let your doctor know. Even if the gallstones completely dissolve, the treatment should still be continued for several weeks or months. Women who use this medicine for dissolving gallstones should stop using the birth control pill because the hormones present in it can increase the production of gallstones. Using this medicine can reduce or increase the effect of some other medicines so tell your doctor all other medicines you are taking."
584,F Oral Suspension,Suspension,"If you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.), you must consult your doctor immediately. Aristogyl-F Oral Suspension may lead to some side effects such as nausea, headaches, dryness of mouth, etc. If you are a known allergic to the medicine, you must refrain from using this medicine and consult your doctor. Before taking this medicine, you should tell your doctor if you have any problems with your liver or kidneys. To overcome any such side effects, it is advised to eat a healthy balanced diet and drink plenty of fluid. If any of the side effects get aggravated, contact your doctor immediately. It should be taken with food, but it must be taken at a fixed time to ensure better efficacy."
585,5 Tablet,Tablet,"It may cause side effects like tiredness, decreased potassium level in blood, decreased blood pressure, increased creatinine level in blood, and increased uric acid level in blood. It works by relaxing the blood vessels and making the heart more efficient at pumping blood throughout the body. Tablet is a combination medicine used in the treatment of hypertension (high blood pressure). Regular monitoring of blood pressure is required while taking this medicine. It may cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. It is advised to drink plenty of fluids while taking this medicine."
